tokenID,name,description,file_name,external_url,attributes[Eyes],attributes[Tier],attributes[Birthday]
1,Item 1,Item 1 description,1.png,https://example.com/1,Green,Common,2021-01-01
2,Item 2,Item 2 description,2.png,https://example.com/2,Red,Common,2021-01-01
3,Item 3,Item 3 description,3.png,https://example.com/3,Brown,Common,2021-01-01
4,Item 4,Item 4 description,4.png,https://example.com/4,Red,Common,2021-01-01
5,Item 5,Item 5 description,5.png,https://example.com/5,Red,Common,2021-01-01
6,Item 6,Item 6 description,6.png,https://example.com/6,Green,Common,2021-01-01
7,Item 7,Item 7 description,7.png,https://example.com/7,Blue,Common,2021-01-01
8,Item 8,Item 8 description,8.png,https://example.com/8,Brown,Common,2021-01-01
9,Item 9,Item 9 description,9.png,https://example.com/9,Green,Common,2021-01-01
10,Item 10,Item 10 description,10.png,https://example.com/10,Green,Common,2021-01-01
11,Item 11,Item 11 description,11.png,https://example.com/11,Red,Common,2021-01-01
12,Item 12,Item 12 description,12.png,https://example.com/12,Green,Common,2021-01-01
13,Item 13,Item 13 description,13.png,https://example.com/13,Red,Common,2021-01-01
14,Item 14,Item 14 description,14.png,https://example.com/14,Green,Common,2021-01-01
15,Item 15,Item 15 description,15.png,https://example.com/15,Blue,Common,2021-01-01
16,Item 16,Item 16 description,16.png,https://example.com/16,Green,Common,2021-01-01
17,Item 17,Item 17 description,17.png,https://example.com/17,Red,Common,2021-01-01
18,Item 18,Item 18 description,18.png,https://example.com/18,Green,Common,2021-01-01
19,Item 19,Item 19 description,19.png,https://example.com/19,Brown,Common,2021-01-01
20,Item 20,Item 20 description,20.png,https://example.com/20,Red,Common,2021-01-01
21,Item 21,Item 21 description,21.png,https://example.com/21,Red,Common,2021-01-01
22,Item 22,Item 22 description,22.png,https://example.com/22,Brown,Common,2021-01-01
23,Item 23,Item 23 description,23.png,https://example.com/23,Brown,Common,2021-01-01
24,Item 24,Item 24 description,24.png,https://example.com/24,Green,Common,2021-01-01
25,Item 25,Item 25 description,25.png,https://example.com/25,Green,Common,2021-02-02
26,Item 26,Item 26 description,26.png,https://example.com/26,Green,Common,2021-02-02
27,Item 27,Item 27 description,27.png,https://example.com/27,Red,Common,2021-02-02
28,Item 28,Item 28 description,28.png,https://example.com/28,Red,Common,2021-02-02
29,Item 29,Item 29 description,29.png,https://example.com/29,Brown,Common,2021-02-02
30,Item 30,Item 30 description,30.png,https://example.com/30,Blue,Common,2021-02-02
31,Item 31,Item 31 description,31.png,https://example.com/31,Red,Common,2021-02-02
32,Item 32,Item 32 description,32.png,https://example.com/32,Green,Common,2021-02-02
33,Item 33,Item 33 description,33.png,https://example.com/33,Blue,Common,2021-02-02
34,Item 34,Item 34 description,34.png,https://example.com/34,Blue,Common,2021-02-02
35,Item 35,Item 35 description,35.png,https://example.com/35,Red,Common,2021-02-02
36,Item 36,Item 36 description,36.png,https://example.com/36,Brown,Common,2021-03-03
37,Item 37,Item 37 description,37.png,https://example.com/37,Green,Common,2021-03-03
38,Item 38,Item 38 description,38.png,https://example.com/38,Brown,Common,2021-03-03
39,Item 39,Item 39 description,39.png,https://example.com/39,Green,Common,2021-03-03
40,Item 40,Item 40 description,40.png,https://example.com/40,Red,Rare,2021-03-03
41,Item 41,Item 41 description,41.png,https://example.com/41,Blue,Rare,2021-03-03
42,Item 42,Item 42 description,42.png,https://example.com/42,Blue,Rare,2021-03-03
43,Item 43,Item 43 description,43.png,https://example.com/43,Blue,Rare,2021-03-03
44,Item 44,Item 44 description,44.png,https://example.com/44,Brown,Rare,2021-03-03
45,Item 45,Item 45 description,45.png,https://example.com/45,Green,Rare,2021-03-03
46,Item 46,Item 46 description,46.png,https://example.com/46,Green,Rare,2021-03-03
47,Item 47,Item 47 description,47.png,https://example.com/47,Brown,Rare,2021-03-03
48,Item 48,Item 48 description,48.png,https://example.com/48,Green,Legendary,2021-03-03
49,Item 49,Item 49 description,49.png,https://example.com/49,Blue,Legendary,2021-03-03
50,Item 50,Item 50 description,50.png,https://example.com/50,Blue,Legendary,2021-03-03
